	C1	C2	C3	C4	C5	P1	P2	P3	P4	P5
LOC645249	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25096157353321874	0.0
LOC645323	0.0	0.070389327891398	0.056583528366367514	0.0	0.056583528366367514	0.0	0.0	0.0	0.0	0.6780719051126377
LOC645355	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02856915219677092	0.0	0.0
LOC645431	0.0	0.5160151470036647	0.16349873228287956	0.25096157353321874	0.12432813500220177	0.0	0.12432813500220177	0.13750352374993502	0.070389327891398	0.0
LOC645434	0.29865831556451516	0.4005379295837288	0.056583528366367514	0.0	0.12432813500220177	0.11103131238874395	0.16349873228287956	0.32192809488736235	0.0	0.0
LOC645513	2.017921907997262	1.875780063068488	2.0250287944915226	1.903038270112912	2.229587922740652	1.5801454844233804	1.8278190246173196	2.341985747228616	1.9671686075326276	2.0107798387532423
LOC645591	0.0	0.0	0.0	0.0	0.0	0.0	0.12432813500220177	0.0	0.0	0.0
LOC645638	0.0	0.17632277264046287	0.18903382439001715	0.04264433740849372	0.13750352374993502	0.11103131238874395	0.0	0.12432813500220177	0.15055967657538138	0.0
LOC645676	2.2357270598380583	2.017921907997262	1.2750070474998698	1.5801454844233804	1.7949356628035362	1.3785116232537298	1.7484612330040354	1.8155754288625725	1.4489009511451278	1.6959938131099002
LOC645752	0.18903382439001715	0.6690267655096306	0.29865831556451516	0.18903382439001715	0.6507645591169021	1.3045110418099528	0.22650852980867975	0.15055967657538138	0.29865831556451516	0.8953026213333066
LOC645949	0.056583528366367514	0.15055967657538138	0.0	0.0	0.25096157353321874	0.0	0.16349873228287956	0.0	0.0	0.0
LOC646096	0.0	0.0	0.02856915219677092	0.0	0.0	0.0	0.0	0.02856915219677092	0.0	0.0
LOC646168	0.0	0.0	0.0	0.0	0.0	0.02856915219677092	0.0	0.0	0.0	0.0
LOC646214	8.038918989292302	7.619119511453218	7.656925339794245	7.682854168572234	7.952100554168438	7.906830482062774	8.633394880953798	8.242411963098235	7.925584109389362	6.8858183719899175
LOC646268	0.12432813500220177	0.0	0.0	0.0	0.02856915219677092	0.4222330006830478	0.22650852980867975	0.13750352374993502	0.0	0.3103401206121505
LOC646278	0.963474123974886	0.7398481026993274	0.27500704749986976	0.9335726382610241	0.5459683691052925	0.3103401206121505	1.0976107966264221	0.48542682717024166	0.45417589318580215	0.056583528366367514
LOC646324	1.2509615735332187	0.5360529002402097	0.9781956296816515	1.1309308698264486	0.8318772411916731	1.6780719051126378	1.550900664647523	1.584962500721156	0.9107326619029126	0.44360665147561457
LOC646329	6.361066488794321	5.396433531250992	5.937344392150233	6.027021314622255	6.574101508089389	6.111448698487674	6.567119487951671	6.886428210541877	6.339493737901733	4.872828759534886
LOC646471	2.9873208659292536	2.3161457422933562	1.903038270112912	2.304511041809953	3.063502942306158	2.361768359419153	3.12267271882414	3.237257770900372	2.211012193485512	2.229587922740652
LOC646498	0.09761079662642233	0.0	0.16349873228287956	0.0	0.0	0.0	0.08406426478847456	0.15055967657538138	0.0	0.0
LOC646576	0.5360529002402097	1.070389327891398	0.765534746362977	0.44360665147561457	0.6507645591169021	0.25096157353321874	0.4222330006830478	0.6870606883398922	1.1243281350022014	1.1110313123887439
LOC646626	1.2630344058337937	0.7398481026993274	0.5360529002402097	0.6507645591169021	1.3219280948873624	1.4276061727818994	1.0426443374084937	0.9486008474933558	1.3785116232537298	0.8639384504239714
LOC646627	0.0	0.04264433740849372	0.0	0.0	0.0	0.0	0.0	0.070389327891398	0.0	0.0
LOC646719	3.2839217723076173	3.849999259466098	3.4475791965488827	3.611172380044005	4.241077458175037	3.6959938131099	3.777156666004501	4.03121873061072	4.004501392234941	3.523561956057013
LOC646736	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02856915219677092	0.0	0.0
LOC646762	3.9059284781731347	3.1521834190550453	3.097610796626422	2.811471030529836	2.759155833800272	3.4594316186372973	3.7949356628035362	3.29130885982897	3.363171077119244	2.763411574470007
LOC646813	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.014355292977070054	0.0	0.0
LOC646851	3.2809563138310565	2.6848187375532224	2.7463127664254587	2.3978029618624896	2.983677694698067	2.84799690655495	2.8579809951275723	3.187451054027326	2.6667565918848033	2.2720231890610485
LOC646862	0.056583528366367514	0.04264433740849372	0.0	0.09761079662642233	0.17632277264046287	0.08406426478847456	0.070389327891398	0.056583528366367514	0.25096157353321874	0.056583528366367514
LOC646903	1.1699250014423124	1.1763227726404628	0.6415460290875237	0.6507645591169021	0.8073549220576041	1.0214797274104517	0.6959938131099002	1.15704371014558	1.6369145803558778	0.5459683691052925
LOC646938	0.0	0.04264433740849372	0.02856915219677092	0.09761079662642233	0.056583528366367514	0.0	0.02856915219677092	0.02856915219677092	0.0	0.0
LOC646999	0.5655971758542251	0.4005379295837288	0.7311832415722002	0.9708536543404835	0.903038270112912	0.5753123306874368	0.8479969065549501	0.2630344058337938	0.2630344058337938	0.21412480535284734
LOC647107	0.0	0.0	0.0	0.0	0.014355292977070054	0.0	0.0	0.0	0.0	0.0
LOC647286	0.0	0.0	0.0	0.12432813500220177	0.056583528366367514	0.0	0.04264433740849372	0.09761079662642233	0.0	0.0
LOC647323	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.28688114778816154	0.0
LOC647589	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.014355292977070054	0.0	0.0
LOC647859	0.5160151470036647	0.7136958148433591	0.27500704749986976	0.0	0.0	0.7739963251111731	0.2016338611696504	0.5058909297299573	0.0	0.0
LOC647946	0.09761079662642233	0.4005379295837288	0.056583528366367514	0.15055967657538138	0.35614381022527536	0.0	0.29865831556451516	0.45417589318580215	0.7484612330040358	0.5260688116675876
LOC647979	8.412908517552006	8.231365202977171	8.257859234639628	8.602921514595169	8.561287945164828	8.30815697511476	8.553782866052751	8.465648025982281	8.63695082123511	8.108472184271745
