Gene	Labels	Color
IMP4	21	darkred
IMPA1	18	lightgreen
IMPA2	16	lightcyan
IMPACT	4	yellow
IMPDH1	16	lightcyan
IMPDH2	13	salmon
IMPG1	5	green
IMPG2	1	turquoise
INCA1	1	turquoise
INF2	1	turquoise
ING1	8	pink
ING2	10	purple
ING3	1	turquoise
ING4	3	brown
ING5	7	black
INHA	9	magenta
INHBA	16	lightcyan
INHBB	4	yellow
INMT	1	turquoise
INO80	3	brown
INO80B	3	brown
INO80C	24	darkgrey
INO80E	4	yellow
INPP1	22	darkgreen
INPP4A	23	darkturquoise
INPP4B	29	saddlebrown
INPP5A	22	darkgreen
INPP5B	2	blue
INPP5D	2	blue
INPP5F	8	pink
INPP5J	7	black
INPP5K	7	black
INPPL1	7	black
INSC	16	lightcyan
INSIG1	8	pink
INSIG2	29	saddlebrown
INSL3	28	skyblue
INSL6	9	magenta
INSM1	1	turquoise
INSM2	1	turquoise
INSR	5	green
INTS1	12	tan
INTS10	10	purple
INTS12	3	brown
INTS2	9	magenta
INTS3	1	turquoise
INTS5	4	yellow
INTS7	8	pink
INTU	19	lightyellow
INVS	1	turquoise
IP6K1	7	black
IP6K2	43	ivory
IPCEF1	9	magenta
IPMK	21	darkred
IPO11	17	grey60
IPO13	12	tan
IPO4	11	greenyellow
IPO5	20	royalblue
IPO7	3	brown
IPO8	8	pink
IPO9	6	red
IPP	12	tan
IPPK	3	brown
IQCA1	41	lightsteelblue1
IQCB1	17	grey60
IQCC	1	turquoise
IQCD	3	brown
IQCE	1	turquoise
IQCG	16	lightcyan
IQCH	24	darkgrey
IQCK	1	turquoise
IQGAP1	23	darkturquoise
IQGAP2	2	blue
IQGAP3	25	orange
IQSEC1	2	blue
IQSEC2	10	purple
IQUB	25	orange
IRAK1	5	green
IRAK1BP1	5	green
IRAK2	2	blue
IRAK3	17	grey60
IRAK4	2	blue
IREB2	3	brown
IRF1	30	steelblue
IRF2	2	blue
IRF2BP1	4	yellow
IRF2BP2	5	green
IRF2BPL	4	yellow
IRF3	4	yellow
IRF4	2	blue
IRF5	7	black
IRF6	1	turquoise
IRF7	4	yellow
IRF8	15	midnightblue
IRGM	18	lightgreen
IRGQ	1	turquoise
IRS1	5	green
IRS2	30	steelblue
IRX3	0	grey
IRX5	43	ivory
ISCA1	7	black
ISCA2	27	white
ISCU	2	blue
ISG15	2	blue
ISG20	2	blue
ISG20L2	1	turquoise
ISLR	4	yellow
ISM1	5	green
ISM2	1	turquoise
ISOC1	7	black
ISOC2	4	yellow
ISY1	16	lightcyan
ISY1-RAB43	11	greenyellow
ISYNA1	4	yellow
ITFG1	8	pink
ITFG2	3	brown
ITGA1	3	brown
ITGA10	1	turquoise
ITGA11	5	green
ITGA2	17	grey60
ITGA2B	2	blue
ITGA3	38	plum1
ITGA4	2	blue
ITGA5	23	darkturquoise
ITGA6	2	blue
ITGA7	1	turquoise
ITGA9	5	green
ITGAE	1	turquoise
ITGAL	2	blue
ITGAM	2	blue
ITGAV	3	brown
ITGAX	2	blue
ITGB1	3	brown
ITGB1BP1	13	salmon
ITGB1BP2	31	paleturquoise
ITGB2	2	blue
ITGB3	28	skyblue
ITGB3BP	3	brown
ITGB4	31	paleturquoise
ITGB5	38	plum1
ITGB7	21	darkred
