	HC02A	HC04A	HC06A	RSA03A	RSA04A	RSA-1A
RNF168	7.91393243314617	7.56380690708167	7.7258081797434	8.00494270608815	7.57279821261999	7.69891537501365
RNF169	7.50650299354478	6.97931947297212	7.18245496739982	7.08189696443452	6.79059511895311	7.50177104344116
RNF17	3.38108958168133	2.64437186658867	2.52237382456651	0.951485877153058	5.37219141524186	1.07435283090471
RNF170	8.76864531620182	8.66016235918006	8.68296309253752	8.75325358649602	9.12013661928783	9.00274432353836
RNF175	4.23995863453079	4.62264077547812	3.73743724184233	5.2960314578852	4.90063071083208	4.04272149546497
RNF180	6.45370068449669	6.00060429020646	4.78521011331983	6.60270521966012	3.64939065030732	6.71346296441118
RNF181	9.91789177867986	10.1424011784836	10.514262432113	10.2097030152694	10.5294255729113	10.2469108775853
RNF182	5.72252893113484	3.0005371593483	2.26189579936271	0.0	0.0	4.59820571079091
RNF183	2.25321483283842	2.83341775138823	3.39101608485939	3.81496946317575	0.0	3.12770602381717
RNF185	10.0064232919967	9.82914641552321	10.0067815137776	9.84243495172189	10.5540137644574	10.0548104054684
RNF186	0.957439223542008	0.0	2.93420946486533	1.51990756854094	1.10755695246591	1.68327177306147
RNF187	10.4174716703078	11.0181179851152	10.8538591534626	10.7460447318161	10.8675249363766	10.3022868706894
RNF19A	10.1603984940246	10.0536906894587	9.94144407012646	9.88722610497943	10.5562284133658	10.8720489226356
RNF19B	8.33590898143915	7.84217555205507	8.20093523937991	8.70241237747284	8.40666295946362	8.31450651965358
RNF2	8.10864536791345	7.55711667445287	8.03336606093644	8.11594650414046	7.88618496861213	7.69121705567742
RNF20	8.67866090282983	8.71227938971522	8.46780046517915	8.70564298632074	8.71887127915986	8.79576913749461
RNF207	8.33590898143915	6.80957258118596	7.87324177414079	7.60221425739459	7.94144994493025	6.87167870644754
RNF207-AS1	1.52793113248798	0.0	1.53511066935104	1.51990756854094	3.77640397382505	2.4391201604074
RNF208	4.9606748635703	5.3043790902058	5.09663571088841	6.41020038596823	5.48808335884669	4.22438268000409
RNF212	4.44101336697708	5.42686436146167	4.25035624510711	4.8115757353546	4.65826253539438	4.8401827789508
RNF212B	2.51331392522965	2.83341775138823	3.39101608485939	2.72316103421608	2.98710739767197	3.29956967394287
RNF213	11.8458221402249	11.7457627786035	12.0606080851079	12.0104842393927	12.118615764278	12.1280202684058
RNF213-AS1	6.06458548386091	6.15035235519388	5.68088200743384	6.18799493576123	6.01154584288873	5.60135248237604
