	GSM3119483	GSM3119484	GSM3119485	GSM3119486	GSM3119487	GSM3119488	GSM5393469	GSM5393470	GSM5393471	GSM5393472	GSM5393473	GSM5393474
MTHFR	2.3226204223616844	1.9385605647714448	2.909719350031584	1.9103297253751317	2.2476662860612007	2.082113266332177	8.64511315951653	8.92987102973718	8.39238533736878	8.61577217440473	8.52445480370127	8.83821435685719
MTHFS	5.8342257867823495	4.648517213451567	4.252688136980431	4.336269103684403	4.115199749385445	5.986283499147072	4.6717667058193	5.23900236104298	3.51596298472128	4.54922071404515	5.20159222937204	5.87037499468066
MTHFSD	2.3427026482705364	2.6585702549640216	2.758040883869185	2.509604641471407	2.60074311963002	2.8133112449398694	8.36916551894149	9.02505982552664	8.52095089094967	8.47519874120573	8.20689292271461	8.52835182716319
MTIF2	2.922919015640021	3.360663460751545	3.465765552359348	3.2378757178570474	3.0137695255937	0.0	8.24477802316748	7.93282611924809	8.24673112325034	8.2325175583745	8.6036793662035	8.36376612408719
MTIF3	5.777824717981767	5.728557277462766	6.042401387418139	5.186453016383127	5.153833703399263	5.371266112178705	9.26686759055569	9.28196340871569	9.38615032521228	9.30444634474441	9.29475586568256	9.18371738250308
MTM1	1.196078210779849	1.2343602937548364	1.8546220758080127	1.866045465347618	2.1129536245197724	1.7685951034841392	7.74052535118855	7.49546606193069	7.73226165184127	7.64322775794929	7.64115847033442	7.91921754245408
MTMR1	1.7783473712851734	1.656889883172823	2.2051610125586985	1.867394397819384	2.3406534137115247	2.190700186856169	8.97983993035353	8.10782872991763	8.84953287844768	8.5308980177357	8.78457104181369	8.08701418132636
MTMR10	3.0343759667507757	2.2492966645355934	3.027801632326274	3.375584423775106	3.407528148262933	3.5867527358558107	9.42348176126033	9.33767726978364	9.40646877330637	9.37310252172326	9.50425728411398	9.62060037536933
MTMR11	2.431671093313915	2.9842976832232275	2.723237441450592	2.368486206887478	4.677880284452429	4.974965175481447	8.64850325690278	7.80877091451491	8.19159899676779	8.57041940988555	7.35603310341106	7.25258485044444
MTMR12	3.101591251122539	3.085395761269992	3.2012292225594656	3.522758841407708	3.687083090262873	3.2418996591955667	9.88377927777428	9.79116532486645	9.63718033458399	9.89148783462233	9.99042724972671	10.8022937807865
MTMR14	5.164271397680741	4.693392168624313	3.907900128841717	3.701582323931713	3.9966779796163694	4.044088060675741	9.17817199968756	9.42477927551563	9.61290520961011	9.57736534240617	9.27606666707198	9.38800701880901
MTMR2	2.259359874795456	2.100015530289437	2.757447882696674	3.154516782116541	2.9002446851728663	3.025248549479983	9.62965247960472	8.950439349681	9.58821462510325	9.30017846022879	9.43373786763003	9.57531331516424
MTMR3	1.7522947346415432	2.654857105498297	3.103146784637151	2.8098794892173267	3.4097792234403848	3.499067737839628	7.45322212736274	7.67921102344381	7.47956176996024	7.54565037072709	7.64948016823405	7.74426208029727
MTMR4	1.985817351221557	2.098267949583021	2.906130576064265	1.95787003593577	3.3661515289541826	2.32601666447347	9.62621774219733	8.85548093774084	9.88174098249651	9.16589213434398	9.60396639087672	9.11345209167343
MTMR6	1.7718306578930587	1.5226985897824454	2.375400928906357	2.6593514755195837	2.654332422044509	2.8283919249383502	8.9109383485015	8.64130917990582	8.74809922214729	9.32769666316939	8.99837483788147	8.97764812346339
MTMR7	1.5558652254870076	1.5542351945708457	1.9487391302869363	1.740292937074832	1.9232062404529715	2.1217912627357958	6.66929645893738	5.51235308173518	6.03420745799539	5.99024800312229	5.75811672168474	5.60135248237604
MTMR8	0.1043844357152467	0.217849856316152	0.1649175432635458	0.1178386401907485	0.6827395797162644	0.5286383263737079	2.92467386431012	2.83341775138823	3.10306559890351	2.50317491358933	3.18326912977685	2.4391201604074
MTMR9	0.8523736493476338	0.9563384709781853	1.4222276174825534	1.4673629613019856	1.3727459838974936	1.4316924855098354	8.4874655115033	7.96350742549144	8.61823504279737	8.38134984243178	8.59077372084169	8.43002060952556
MTMR9LP	4.223268077528249	3.453516262286516	0.0	0.0	3.861121654360701	3.446685003958637	8.44520673248871	8.40095786010895	7.84969220630253	7.62968572877158	7.64115847033442	8.24258910873021
MTNR1A	0.0	0.185628084578487	0.039950988530546	0.0	0.2847107433087141	0.0981750901265959	0.0	0.0	0.962773549420808	0.0	0.0	0.0
MTNR1B	0.051149188986965	0.2769468234525784	0.1854048090165014	0.0679030032085095	0.0625084515822664	0.0305479641629666	1.52793113248798	0.0	0.0	0.951485877153058	0.0	0.0
MTO1	0.0	2.25313307365258	2.8857012534835	2.516769086012688	2.7068509930587625	2.7054604285981725	7.98537798786657	8.19228792723903	7.99631126718866	8.14954697726354	8.11973521341647	8.15575303441801
MTOR	3.0236864993029897	4.7860055723201205	4.290512873865688	4.522978487483448	3.1740659995003275	4.591332343371087	9.96079268383798	9.85392277196462	9.7888302683961	9.60703815406731	9.73876866693564	9.92298072491474
MTPAP	1.8079648470141327	1.5743098419523212	1.8955546831233283	2.385392380731953	2.988437476269671	3.6708176803167274	7.60750171560936	7.60978947480936	7.6864691124747	7.47924707227565	7.20613687214939	7.51926861463293
MTR	2.959432621517116	2.878852834388602	3.225680592245159	3.306025952084861	3.891574725096554	3.458986937731709	10.8167597807944	10.8531430575423	10.3727327712189	10.8149738033911	11.1588356137268	11.2110856069759
MTRF1	1.7701017021383838	1.7361242576839462	2.13386926052378	2.1282208024519718	2.1576096790090733	2.075895398542136	7.63510579335983	7.46719674782737	7.48721316350678	7.50913758901933	7.59019433934927	7.56210602086263
MTRF1L	2.339525092750829	2.249141903280348	2.4729296103862746	2.6810399001529417	2.4995525358381747	2.69572884941285	7.38169320358229	7.2437838123896	7.50992683918446	7.10165063701186	7.82137136485633	7.79542571548365
MTRNR2L2	5.04769106067531	3.127552394098048	2.767245870768541	3.666961053858203	2.944521152995986	3.0228098758360518	0.957439223542008	0.0	0.0	0.951485877153058	1.10755695246591	0.0
MTRNR2L4	0.0364538188218334	0.1428342578551165	0.0691176845891638	0.0648729209538365	0.2125568883544421	0.0436584896278328	0.0	0.0	1.53511066935104	0.0	0.0	1.07435283090471
MTRNR2L8	3.554195893984727	2.0616103213158645	1.9748559926923257	1.819521045621105	0.0	0.0	3.09337092619119	3.28595314889765	2.93420946486533	2.50317491358933	3.64939065030732	2.93256456353744
MTRR	2.6644623603212625	2.9728948009299674	3.440877802997069	2.6706794736663952	2.9470059002910256	2.944114422908224	9.01703431953784	8.93504066623024	9.00685295327421	8.82035773148859	9.19310901036108	8.88957289505377
MTSS1	1.3850223307595384	1.3488556014150197	1.697707108932662	1.721455784317149	2.676928567206118	2.297332303607013	7.77194940619335	8.3592632112034	8.31710892830152	9.11577452764815	8.68283865617566	8.58760765790012
