ID	GSM3119483	GSM3119484	GSM3119485	GSM3119486	GSM3119487	GSM3119488	GSM5393469	GSM5393470	GSM5393471	GSM5393472	GSM5393473	GSM5393474
DNAH9	1.90938493984481	1.8096140563396	2.45722922043589	2.08606820433003	2.12182597923581	2.35853847723442	3.12562893620315	2.67009932555663	1.25212294380745	2.82681829084111	0.784781192670047	1.81998881633628
DNAI1	2.70426578091933	3.07858744878988	2.75645361617244	2.43970154243127	2.07522304343263	2.20865853725795	2.27887207017397	2.97728879685096	1.55697750366166	2.58983398123285	2.79230176821922	3.00578130463272
DNAI2	2.04988816311612	1.93612217398876	1.16611240532446	0.79396614372703	0.802736672682631	0.811588214173928	2.32804903453998	2.75526488143141	-0.416112175454617	1.79406081704814	-0.416112175454617	0.950065500091357
DNAJA1	8.07365935098519	8.71219586685627	9.2102838403611	9.27592085099045	8.86035564983854	8.91021744205383	8.66643576154884	8.56689034298916	8.92025312420457	8.8441911297002	8.68227804243659	9.39005263192532
DNAJA2	6.41845452460616	6.38797636434634	7.38689572590079	7.38850439070078	7.08897103162179	7.09450909446938	6.87657523244387	6.7268135166272	7.08448742287857	7.04928590853095	7.00749074107411	7.10645516766258
DNAJA3	5.89039992662494	5.96553798689067	6.68082787244518	7.81813033360418	6.50471378945772	6.47371656965479	6.35885703159179	6.65198010979808	6.76664022226354	6.53675976499692	6.6624022440486	6.31388063254288
DNAJA4	4.81903440818903	5.20779615467931	5.75556729028624	5.72098328962093	5.67284133286089	5.63325700222711	5.03730415675643	5.94297008887861	5.43064635761805	5.70299419351496	5.30696214048445	5.50142594385822
DNAJB1	7.40683970017568	7.8578473825152	8.26819059404338	8.22085739739668	8.33941628006522	7.99488150072007	7.8860727738226	8.01586744902102	8.2375454976791	8.15713869263844	7.9321900893511	7.96163381045438
DNAJB11	7.20611484261203	7.70650178586793	7.62055332769473	7.38767292249938	7.40054573544423	7.4958783791863	7.30802180970744	7.3269634918584	7.75155517704752	7.63785243876977	7.34690329827685	7.53737510068055
DNAJB12	6.91809194989396	6.89923110074287	6.95712992995919	7.21319689273001	7.0398732328512	7.06337414434533	6.84536955627441	7.10612167345512	7.1425221141982	6.96100024132639	7.12388513509819	7.16606562136483
DNAJB13	4.13805057660949	5.0907856653324	4.20904624238872	3.40118367262882	4.34142754581123	3.74039396182437	4.67789693256325	4.01939686475297	3.29214398935436	4.73731939191845	3.61253433724372	4.36427818897573
DNAJB14	4.89562314310798	4.94179103941298	5.68019626543084	5.77955659792875	5.97093897109454	5.95271924136746	5.83660137889638	4.98364867081166	5.57788347914196	5.49545747549403	5.83431352163246	5.62018483088487
DNAJB2	8.38682299085756	8.16859240471783	7.95195962654908	7.73272542605272	7.98569390827231	7.92141967437254	8.06784115842137	7.91847400208816	7.95692648824953	8.2036348953843	8.3354272887242	7.7665146362138
DNAJB4	4.6748303502971	4.89121000647085	6.31952081001703	5.8883244208516	5.95027099804168	6.03157783249216	5.80969569986682	5.23834955350792	5.87602303467224	5.27648483280477	6.1489557676871	5.37924573978763
DNAJB5	4.87725752375812	5.15720718608399	5.55819554385908	6.05073706642326	6.57985123376234	6.32979862803312	5.88712000304479	5.63772504706161	6.3742754812487	6.24282876283062	5.03858119430774	5.2905771663271
DNAJB6	6.9699760389699	7.96142769708345	8.13017404752967	8.3260169819516	8.57674117315461	8.31345606073254	8.17196348528974	7.72294627108171	8.2817311294679	8.0561211805622	7.96647180482262	8.06549443406265
DNAJB7	0	0	0	0	0	0	0.957439223542008	0.907177105483059	0.962773549420808	2.2435026002505	1.10755695246591	1.68327177306147
DNAJB9	7.07511053307381	7.30550997454814	7.84834350596253	8.32843112475516	8.23343057942179	8.27989364026052	7.72659432754254	7.62035098753279	7.64116864982798	7.71824208391879	7.93784569068037	8.44591289171847
